iter	Passed	Remaining
1248	7153	50120
1249	7159	50114
1250	7164	50108
1251	7170	50100
1252	7175	50094
1253	7181	50087
1254	7186	50079
1255	7192	50074
1256	7198	50067
1257	7203	50059
1258	7209	50053
1259	7214	50045
1260	7220	50039
1261	7226	50032
1262	7231	50024
1263	7236	50015
1264	7242	50009
1265	7247	50001
1266	7253	49993
1267	7258	49988
1268	7264	49980
1269	7269	49973
1270	7275	49969
1271	7281	49961
1272	7286	49954
1273	7292	49948
1274	7297	49941
1275	7303	49934
1276	7309	49929
1277	7315	49922
1278	7321	49921
1279	7327	49917
1280	7333	49917
1281	7341	49921
1282	7347	49919
1283	7353	49918
1284	7360	49916
1285	7365	49911
1286	7371	49907
1287	7377	49900
1288	7382	49892
1289	7388	49885
1290	7393	49879
1291	7399	49870
1292	7405	49865
1293	7410	49856
1294	7415	49849
1295	7421	49841
1296	7426	49833
1297	7431	49819
1298	7436	49813
1299	7442	49808
1300	7447	49799
1301	7454	49798
1302	7460	49794
1303	7466	49788
1304	7472	49787
1305	7477	49780
1306	7483	49771
1307	7488	49765
1308	7494	49757
1309	7499	49748
1310	7505	49743
1311	7510	49736
1312	7516	49729
1313	7521	49721
1314	7527	49715
1315	7532	49707
1316	7538	49702
1317	7544	49695
1318	7549	49687
1319	7555	49681
1320	7560	49672
1321	7565	49664
1322	7571	49657
1323	7576	49649
1324	7581	49640
1325	7587	49635
1326	7593	49627
1327	7598	49621
1328	7604	49617
1329	7610	49610
1330	7615	49603
1331	7621	49598
1332	7627	49592
1333	7632	49585
1334	7638	49581
1335	7644	49573
1336	7649	49565
1337	7655	49560
1338	7660	49552
1339	7666	49545
1340	7671	49539
1341	7677	49531
1342	7683	49525
1343	7688	49519
1344	7694	49512
1345	7699	49503
1346	7705	49497
1347	7710	49489
1348	7716	49483
1349	7721	49476
1350	7727	49470
1351	7733	49466
1352	7739	49460
1353	7744	49453
1354	7750	49445
1355	7755	49440
1356	7761	49432
1357	7766	49425
1358	7772	49419
1359	7777	49412
1360	7783	49409
1361	7789	49401
1362	7794	49394
1363	7800	49388
1364	7806	49382
1365	7811	49373
1366	7817	49367
1367	7822	49360
1368	7827	49351
1369	7833	49346
1370	7839	49340
1371	7844	49332
1372	7850	49325
1373	7855	49318
1374	7861	49311
1375	7867	49308
1376	7873	49302
1377	7878	49295
1378	7884	49288
1379	7889	49279
1380	7894	49272
1381	7900	49266
1382	7905	49257
1383	7910	49248
1384	7916	49241
1385	7922	49235
1386	7927	49227
1387	7932	49220
1388	7938	49215
1389	7944	49207
